,trade_date,open,high,low,close,vol
117,20170712,465.8,465.99,455,457.47,28950.72
116,20170713,455.35,461.91,453.68,456.16,25951.35
115,20170714,456.25,458.76,453.05,456.41,17726.57
114,20170717,457.04,458.04,446.28,450.07,35263.68
113,20170718,451.99,453.99,448,452.55,30684.49
112,20170719,454,463.62,452.8,456.86,56259.94
111,20170720,455.86,466.89,455.86,466.47,46634.87
110,20170721,466.96,475.01,463.66,473.2,46792.41
109,20170724,474.88,485.35,474.88,477.8,42716.43
108,20170725,482.2,482.8,476.1,477.96,21929.99
107,20170726,478.05,481.63,466.56,471.63,31470.18
106,20170727,471.63,475.85,471.1,473.87,19595.03
105,20170728,471,484.07,467.71,483.92,46618.77
104,20170731,484,487.96,481,481.22,38412.18
103,20170801,481,483,477.4,480.24,27501.54
102,20170802,480.04,484.88,478.51,482.84,26774.22
101,20170803,483.68,486.85,475.63,477.22,31768.39
100,20170804,477,478.98,472.6,473.64,18681.14
99,20170807,472.5,482.4,471.13,481.56,23099.37
98,20170808,482,484.22,479.5,482.58,16051.58
97,20170809,484.84,492.98,482.03,490.85,41794.47
96,20170810,491.09,499.6,489,491.63,35364.38
95,20170811,489,496.55,483.48,484.06,36572.57
94,20170814,485.21,500.1,485.21,499.83,39331.47
93,20170815,500.11,501.1,495.01,495.97,27163.22
92,20170816,498,498.8,493,496.49,18587.22
91,20170817,497.6,497.6,489.8,492.69,25846.73
90,20170818,492.8,494.44,488,489.65,23857.75
89,20170821,488,494.4,486.94,489.73,23546.62
88,20170822,487.4,489.48,476,487.22,42457.03
87,20170823,485.45,494.63,484.32,494.01,27214.99
86,20170824,493.99,496.4,492.02,492.81,18156.78
85,20170825,493.45,494.25,489.32,492.99,17297.88
84,20170828,493,497.29,491.03,492.04,29021.07
83,20170829,493.02,494.88,488.01,489.44,25176.62
82,20170830,489.7,493.75,489.16,492.97,18503.64
81,20170831,494.04,494.88,489.8,491.15,18736.86
80,20170901,490.2,496.28,490.03,495.18,31451
79,20170904,495.18,496.66,491.27,492.42,18931.62
78,20170905,492.88,493.99,489.5,489.99,22622.15
77,20170906,490,492.77,484.84,484.98,33006.5
76,20170907,485.31,486.9,480.06,481.27,33320.16
75,20170908,478.25,480.5,474,474.37,41173.27
74,20170911,471.09,482.22,469.98,478.32,45374.4
73,20170912,479.5,486,478.4,484.91,34341.63
72,20170913,485,492.2,481.38,491.63,33075.7
71,20170914,492.99,494.03,488.99,490.71,19399.49
70,20170915,492.5,492.5,488,489.84,16039.46
69,20170918,490.14,500.5,490.14,498.97,42206.81
68,20170919,500.3,502.5,496.01,496.95,23054.81
67,20170920,496.9,500.02,496,496.2,17318.16
66,20170921,495.94,500.58,492.88,498.77,19402.68
65,20170922,496.9,500.18,495.8,499.93,16343.53
64,20170925,500.31,508.2,500.3,507.24,32697.56
63,20170926,506.69,510,503.6,509.29,25470.49
62,20170927,508.92,511.03,506.07,508.21,16671.11
61,20170928,507.2,520.2,507.15,518.46,25969.85
60,20170929,516,525.88,515.5,517.64,22436.22
59,20171009,524.54,535.55,520.1,527.77,34891.29
58,20171010,527.05,540.49,527.01,540.06,31006.44
57,20171011,538.1,551.25,538.1,545.54,33406.43
56,20171012,545,547.5,540.18,544.09,19646.22
55,20171013,545,556.6,542.01,556.15,27858.42
54,20171016,559.99,566.66,555.87,560.69,29909.01
53,20171017,560.97,560.97,554,556.73,20977.12
52,20171018,554.2,562.59,554.2,560.72,19178.65
51,20171019,561,585.15,560.72,582.6,40658.82
50,20171020,581,581,571.76,574.33,31534.33
49,20171023,574.92,580.5,568,573.41,23771.82
48,20171024,572,573.8,563.61,567.33,31274.28
47,20171025,569.75,571.68,562.06,565.67,25076
46,20171026,605,613,591.91,605.09,115434.97
45,20171027,602.11,655,600.03,649.63,84383.79
44,20171030,643.05,644,621,622.08,81007.86
43,20171031,622.01,627.6,611.88,618.03,51875.68
42,20171101,620.88,631.54,619.22,623.01,43435.25
41,20171102,626.95,629.78,621,626.92,34249.73
40,20171103,628.65,643.44,628.65,639.17,48188.97
39,20171106,641.5,657.62,640.2,653.06,48513.98
38,20171107,650.58,657.15,638.18,642.07,55564.85
37,20171108,642.33,654.5,642.33,650.38,43951.94
36,20171109,648,654.15,644.61,650.07,33641.13
35,20171110,650.43,683.4,650.43,677.95,74078.6
34,20171113,680,692.78,675.8,687.88,49869.84
33,20171114,687.14,687.22,677.35,678.75,46366.71
32,20171115,678.75,689.99,674,688.08,45036.33
31,20171116,686.01,719.96,686.01,719.11,60716.32
30,20171117,696,709,677.77,690.25,123861.24
